챕터,회차,에피소드,게시일,URL
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제10화,「정체기」,2012/12/01 16:59,https://ncode.syosetu.com/n9669bk/11/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제11화,「이별」,2012/12/02 14:32,https://ncode.syosetu.com/n9669bk/12/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,제12화,「아가씨의 폭력」,2012/12/09 01:00,https://ncode.syosetu.com/n9669bk/13/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,제13화,「자작자연?」,2012/12/09 09:37,https://ncode.syosetu.com/n9669bk/14/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,간화,「뒷이야기와 보레아스류 인사법」,2012/12/10 10:00,https://ncode.syosetu.com/n9669bk/15/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,제14화,"「난폭함, 아직 식지 않았다」",2012/12/10 10:00,https://ncode.syosetu.com/n9669bk/16/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,제15화,「직원회의와 일요일」,2012/12/11 10:59,https://ncode.syosetu.com/n9669bk/17/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,제16화,「아가씨는 열 살」,2012/12/12 10:56,https://ncode.syosetu.com/n9669bk/18/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,제17화,「언어 학습」,2012/12/13 15:00,https://ncode.syosetu.com/n9669bk/19/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,제18화,「확약」,2012/12/14 15:00,https://ncode.syosetu.com/n9669bk/20/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,제19화,「터닝포인트」,2012/12/15 17:00,https://ncode.syosetu.com/n9669bk/21/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제2장 소년기 · 가정교사 편,간화,「피트아령 소멸로부터 반년 후」,2012/12/16 15:00,https://ncode.syosetu.com/n9669bk/22/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제20화,「신을 사칭하는 사기꾼」,2012/12/23 12:13,https://ncode.syosetu.com/n9669bk/23/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제21화,「스페르드족」,2012/12/24 11:21,https://ncode.syosetu.com/n9669bk/24/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제22화,「스승의 비밀」,2012/12/25 11:32,https://ncode.syosetu.com/n9669bk/25/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제23화,「신뢰의 이유」,2012/12/26 11:11,https://ncode.syosetu.com/n9669bk/26/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제24화,「가까운 마을까지 사흘」,2012/12/27 11:31,https://ncode.syosetu.com/n9669bk/27/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제25화,「침입과 변장」,2012/12/28 12:51,https://ncode.syosetu.com/n9669bk/28/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제26화,「모험자 길드」,2012/12/29 16:27,https://ncode.syosetu.com/n9669bk/29/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제27화,「모험자의 여인숙」,2012/12/30 20:37,https://ncode.syosetu.com/n9669bk/30/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제28화,「사람의 목숨과 첫 의뢰」,2013/01/03 21:07,https://ncode.syosetu.com/n9669bk/31/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제29화,「첫 의뢰 종료」,2013/01/04 21:03,https://ncode.syosetu.com/n9669bk/32/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제30화,「순조로운 출발」,2013/01/05 16:56,https://ncode.syosetu.com/n9669bk/33/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제31화,「아이와 전사」,2013/01/06 15:34,https://ncode.syosetu.com/n9669bk/34/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제32화,「실패와 혼란과 결의」,2013/01/07 13:19,https://ncode.syosetu.com/n9669bk/35/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,제33화,「여행의 시작」,2013/01/08 20:51,https://ncode.syosetu.com/n9669bk/36/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제3장 소년기 · 모험자 입문 편,세계지도,,2013/01/14 16:59,https://ncode.syosetu.com/n9669bk/37/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제34화,「웬포트」,2013/01/14 15:04,https://ncode.syosetu.com/n9669bk/38/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제35화,「엇갈림 · 전반」,2013/01/15 12:11,https://ncode.syosetu.com/n9669bk/39/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제36화,「엇갈림 · 후반」,2013/01/16 14:06,https://ncode.syosetu.com/n9669bk/40/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,간화,「엇갈림 · 번외편」,2013/01/17 13:01,https://ncode.syosetu.com/n9669bk/41/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제37화,「배 안의 현자」,2013/01/18 17:50,https://ncode.syosetu.com/n9669bk/42/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제38화,「창고 안의 악마」,2013/01/19 21:34,https://ncode.syosetu.com/n9669bk/43/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제39화,「수족의 아이들」,2013/01/20 16:25,https://ncode.syosetu.com/n9669bk/44/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제40화,「무료 아파트」,2013/01/21 12:32,https://ncode.syosetu.com/n9669bk/45/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제41화,「도르디아 마을의 슬로우라이프 · 전반」,2013/01/22 12:42,https://ncode.syosetu.com/n9669bk/46/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제42화,「도르디아 마을의 슬로우라이프 · 후반」,2013/01/23 16:34,https://ncode.syosetu.com/n9669bk/47/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제4장 소년기 · 항해 편,제43화,「성검가도(聖劍街道)」,2013/01/24 14:56,https://ncode.syosetu.com/n9669bk/48/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제5장 소년기 · 재회 편,제44화,「미리스 신성국」,2013/02/07 13:06,https://ncode.syosetu.com/n9669bk/49/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제5장 소년기 · 재회 편,제45화,「1년 반의 파울로」,2013/02/08 11:41,https://ncode.syosetu.com/n9669bk/50/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제5장 소년기 · 재회 편,제46화,「부자싸움」,2013/02/10 00:06,https://ncode.syosetu.com/n9669bk/51/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제5장 소년기 · 재회 편,제47화,「파울로와의 재회」,2013/02/11 01:17,https://ncode.syosetu.com/n9669bk/52/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제5장 소년기 · 재회 편,제48화,「방침 재확인」,2013/02/12 12:23,https://ncode.syosetu.com/n9669bk/53/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제5장 소년기 · 재회 편,제49화,「밀리시온에서의 일주일」,2013/02/13 22:41,https://ncode.syosetu.com/n9669bk/54/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제5장 소년기 · 재회 편,간화,「에리스의 고블린 토벌」,2013/02/14 15:28,https://ncode.syosetu.com/n9669bk/55/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제5장 소년기 · 재회 편,제50화,「중앙대륙으로」,2013/02/15 22:04,https://ncode.syosetu.com/n9669bk/56/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제5장 소년기 · 재회 편,간화,「록시의 귀환」,2013/02/17 14:25,https://ncode.syosetu.com/n9669bk/57/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제51화,「경로 선택」,2013/03/16 18:01,https://ncode.syosetu.com/n9669bk/58/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제52화,「쌀」,2013/03/17 19:00,https://ncode.syosetu.com/n9669bk/59/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제53화,「시론 왕국」,2013/03/18 19:00,https://ncode.syosetu.com/n9669bk/60/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제54화,「신의 부재」,2013/03/19 19:00,https://ncode.syosetu.com/n9669bk/61/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제55화,「제3왕자」,2013/03/20 19:00,https://ncode.syosetu.com/n9669bk/62/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제56화,「신속 해결」,2013/03/21 19:00,https://ncode.syosetu.com/n9669bk/63/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제57화,「여동생 시녀의 태어난 날」,2013/03/22 19:00,https://ncode.syosetu.com/n9669bk/64/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제58화,「한 사람 어른」,2013/03/23 19:00,https://ncode.syosetu.com/n9669bk/65/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제59화,「터닝포인트 2」,2013/03/24 19:00,https://ncode.syosetu.com/n9669bk/66/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제60화,「가슴에 뚜렷이 뚫린 구멍」,2013/03/25 19:00,https://ncode.syosetu.com/n9669bk/67/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제61화,「여행의 끝」,2013/03/27 00:00,https://ncode.syosetu.com/n9669bk/68/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제62화,「재해의 현실」,2013/03/27 19:00,https://ncode.syosetu.com/n9669bk/69/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,제63화,「아가씨의 결의」,2013/03/28 19:00,https://ncode.syosetu.com/n9669bk/70/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,간화,「만나버린 두 사람」,2013/03/29 19:00,https://ncode.syosetu.com/n9669bk/71/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제6장 소년기 · 귀향 편,세계지도 2,,2013/04/16 18:00,https://ncode.syosetu.com/n9669bk/72/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제7장 청소년기 · 입학 편,제64화,「진흙탕의 모험자」,2013/04/16 19:00,https://ncode.syosetu.com/n9669bk/73/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제7장 청소년기 · 입학 편,제65화,「추천장」,2013/04/17 19:00,https://ncode.syosetu.com/n9669bk/74/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제7장 청소년기 · 입학 편,제66화,「입학시험」,2013/04/19 19:00,https://ncode.syosetu.com/n9669bk/75/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제7장 청소년기 · 입학 편,제67화,「입학 첫날 · 전반」,2013/04/20 19:00,https://ncode.syosetu.com/n9669bk/76/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제7장 청소년기 · 입학 편,제68화,「입학 첫날 · 후반」,2013/04/21 19:00,https://ncode.syosetu.com/n9669bk/77/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제7장 청소년기 · 입학 편,제69화,「피츠 선배」,2013/04/22 19:00,https://ncode.syosetu.com/n9669bk/78/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제70화,「미치지 못한 힘 · 전반」,2013/04/23 19:00,https://ncode.syosetu.com/n9669bk/79/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제71화,「미치지 못한 힘 · 후반」,2013/04/24 19:00,https://ncode.syosetu.com/n9669bk/80/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제72화,「수족 영애 납치감금 사건 · 전반」,2013/04/26 19:00,https://ncode.syosetu.com/n9669bk/81/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제73화,「수족 영애 납치감금 사건 · 후반」,2013/04/27 19:00,https://ncode.syosetu.com/n9669bk/82/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제74화,「천재 소년의 비밀 · 전반」,2013/04/29 19:00,https://ncode.syosetu.com/n9669bk/83/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제75화,「천재 소년의 비밀 · 후반」,2013/04/30 19:00,https://ncode.syosetu.com/n9669bk/84/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제76화,「벼랑의 약혼자 · 전반」,2013/05/02 19:00,https://ncode.syosetu.com/n9669bk/85/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제77화,「벼랑의 약혼자 · 후반」,2013/05/03 19:00,https://ncode.syosetu.com/n9669bk/86/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제78화,「하얀 가면 · 전반」,2013/05/06 19:00,https://ncode.syosetu.com/n9669bk/87/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제79화,「하얀 가면 · 후반」,2013/05/07 19:00,https://ncode.syosetu.com/n9669bk/88/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,제80화,「마법대학에서의 하루」,2013/05/08 19:00,https://ncode.syosetu.com/n9669bk/89/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제8장 청소년기 · 특별생 장악 편,간화,「불타라 미친개」,2013/05/09 19:00,https://ncode.syosetu.com/n9669bk/90/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제81화,「실피의 과거」,2013/06/08 19:00,https://ncode.syosetu.com/n9669bk/91/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제82화,「수호술사 피츠 등장」,2013/06/09 19:00,https://ncode.syosetu.com/n9669bk/92/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제83화,「공주와 기사와 술사」,2013/06/10 19:00,https://ncode.syosetu.com/n9669bk/93/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제84화,「입학 첫날 · 번외편」,2013/06/11 19:00,https://ncode.syosetu.com/n9669bk/94/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제85화,「눈치 빠른 둔감」,2013/06/12 19:00,https://ncode.syosetu.com/n9669bk/95/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제86화,「지나친 배려」,2013/06/13 19:00,https://ncode.syosetu.com/n9669bk/96/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제87화,「지켜진 비밀」,2013/06/14 19:00,https://ncode.syosetu.com/n9669bk/97/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제88화,「숲의 비 · 전반」,2013/06/15 19:00,https://ncode.syosetu.com/n9669bk/98/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제89화,「숲의 비 · 후반」,2013/06/16 19:00,https://ncode.syosetu.com/n9669bk/99/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제90화,「마지막 한 번 더」,2013/06/17 19:00,https://ncode.syosetu.com/n9669bk/100/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제9장 청소년기 · 실피에트 편,제91화,「뒷배」,2013/06/18 19:00,https://ncode.syosetu.com/n9669bk/101/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제10장 청소년기 · 신혼 편,제92화,「결혼 전에 준비할 것 · 전반」,2013/06/26 19:00,https://ncode.syosetu.com/n9669bk/102/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제10장 청소년기 · 신혼 편,제93화,「결혼 전에 준비할 것 · 후반」,2013/06/27 19:00,https://ncode.syosetu.com/n9669bk/103/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제10장 청소년기 · 신혼 편,제94화,「극적」,2013/06/28 19:00,https://ncode.syosetu.com/n9669bk/104/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제10장 청소년기 · 신혼 편,제95화,「피로연 · 준비」,2013/06/29 19:00,https://ncode.syosetu.com/n9669bk/105/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제10장 청소년기 · 신혼 편,제96화,「피로연 · 개최」,2013/06/30 19:00,https://ncode.syosetu.com/n9669bk/106/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제10장 청소년기 · 신혼 편,제97화,「피로연 · 종료」,2013/07/01 19:00,https://ncode.syosetu.com/n9669bk/107/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제10장 청소년기 · 신혼 편,제98화,「집 있는 생활」,2013/07/02 19:00,https://ncode.syosetu.com/n9669bk/108/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제99화,「편지」,2013/07/28 19:00,https://ncode.syosetu.com/n9669bk/109/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제100화,「제방 붕괴」,2013/07/29 19:00,https://ncode.syosetu.com/n9669bk/110/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제101화,「문수보살의 지혜」,2013/07/30 19:00,https://ncode.syosetu.com/n9669bk/111/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제102화,「그리움과 안타까움」,2013/07/31 19:00,https://ncode.syosetu.com/n9669bk/112/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제103화,「자매의 처우」,2013/08/01 19:00,https://ncode.syosetu.com/n9669bk/113/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제104화,「메이드와 기숙사생」,2013/08/02 19:00,https://ncode.syosetu.com/n9669bk/114/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,간화,「인형의 연구와 주종관계」,2013/08/03 13:02,https://ncode.syosetu.com/n9669bk/115/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제105화,「반장과 그 동료들」,2013/08/03 19:00,https://ncode.syosetu.com/n9669bk/116/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제106화,「형의 마음」,2013/08/04 19:00,https://ncode.syosetu.com/n9669bk/117/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제107화,「노른 그레이라트」,2013/08/05 19:00,https://ncode.syosetu.com/n9669bk/118/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제108화,「여동생이 있는 생활」,2013/08/06 19:00,https://ncode.syosetu.com/n9669bk/119/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,제109화,「터닝포인트 3」,2013/08/07 19:00,https://ncode.syosetu.com/n9669bk/120/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제11장 청소년기 · 여동생 편,간화,「송곳니를 갈다」,2013/08/09 19:00,https://ncode.syosetu.com/n9669bk/121/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제12장 청소년기 · 베가리트 대륙 편,제110화,「이별의 인사」,2013/08/30 19:00,https://ncode.syosetu.com/n9669bk/122/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제12장 청소년기 · 베가리트 대륙 편,제111화,「베가리트 대륙으로」,2013/08/31 19:00,https://ncode.syosetu.com/n9669bk/123/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제12장 청소년기 · 베가리트 대륙 편,제112화,「천적과의 조우」,2013/09/02 00:00,https://ncode.syosetu.com/n9669bk/124/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제12장 청소년기 · 베가리트 대륙 편,제113화,「사막의 생태」,2013/09/02 14:38,https://ncode.syosetu.com/n9669bk/125/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제12장 청소년기 · 베가리트 대륙 편,제114화,「사막 여행」,2013/09/03 19:00,https://ncode.syosetu.com/n9669bk/126/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제12장 청소년기 · 베가리트 대륙 편,제115화,「바자르」,2013/09/04 19:00,https://ncode.syosetu.com/n9669bk/127/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제12장 청소년기 · 베가리트 대륙 편,제116화,「사막의 전사들」,2013/09/05 19:00,https://ncode.syosetu.com/n9669bk/128/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제12장 청소년기 · 베가리트 대륙 편,제117화,「도착」,2013/09/06 19:00,https://ncode.syosetu.com/n9669bk/129/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제13장 청소년기 · 미궁 편,제118화,「상황 확인」,2013/10/05 19:00,https://ncode.syosetu.com/n9669bk/130/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제13장 청소년기 · 미궁 편,제119화,「미궁 입성」,2013/10/06 19:00,https://ncode.syosetu.com/n9669bk/131/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제13장 청소년기 · 미궁 편,제120화,「그때 그녀의 마음」,2013/10/07 19:00,https://ncode.syosetu.com/n9669bk/132/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제13장 청소년기 · 미궁 편,제121화,「불굴의 마법사」,2013/10/08 19:00,https://ncode.syosetu.com/n9669bk/133/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제13장 청소년기 · 미궁 편,제122화,「척척 진행」,2013/10/09 19:00,https://ncode.syosetu.com/n9669bk/134/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제13장 청소년기 · 미궁 편,제123화,「제6층의 마법진」,2013/10/10 19:00,https://ncode.syosetu.com/n9669bk/135/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제13장 청소년기 · 미궁 편,제124화,「전이 미궁의 수호자」,2013/10/11 19:00,https://ncode.syosetu.com/n9669bk/136/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제13장 청소년기 · 미궁 편,제125화,「사투」,2013/10/12 19:00,https://ncode.syosetu.com/n9669bk/137/
